firmware_size,done,not_done,missing,attempts,duration_sec,AA00.vcc,0235.vcc,0237.vcc,0238.vcc,AA00.ReadRate,0235.ReadRate,0237.ReadRate,0238.ReadRate,AA00.peak_rssi,0235.peak_rssi,0237.peak_rssi,0238.peak_rssi
403,3,0,1,0,1.0475945,403,3,0,0,0,0.0712066,3605,3739,3674,21.7688496469093,21.7688496469093,21.7688496469093,-16,-16,-16
403,1,1,1,2,3.5418733,3605,3739,3674,48.3837411276315,48.3837411276315,48.3837411276315,-16,-16,-16
403,1,2,0,2,2.912891,3612,3711,3605,25.8130464299266,77.4391392897798,25.8130464299266,-16,-16,-16
403,3,0,0,1,2.4021865,3734,3837,3698,33.3863062726192,66.7726125452384,33.3863062726192,-16,-16,-16
403,2,1,0,2,2.6768328,3653,3564,3559,61.7920943194528,61.7920943194528,61.7920943194528,-16,-16,-16
403,1,2,1,2,3.7316466,3837,3815,3807,51.2318299418519,48.2761474452066,53.2022849396154,-16,-16,-16
403,2,0,2,1,2.3023243,3795,3738,0,50.2480876169007,53.2038574767184,0,-16,-16,0
403,2,0,2,1,2.3459678,3571,3764,0,58.2006777123661,49.3226082308188,0,-16,-16,0
403,3,0,1,1,2.8893882,3736,3729,3702,49.7232651677091,53.7011263811259,52.7066610777717,-16,-16,-16
403,3,0,1,1,2.7868873,3798,3849,3564,49.0471415620181,49.0471415620181,61.7993983681428,-16,-16,-16
403,2,1,1,2,3.7331027,3579,3636,3597,51.0496896080699,58.9034880093115,45.1593408071388,-16,-16,-16
403,2,1,1,2,3.3515416,3808,3563,3718,53.2787548399802,52.2921112318324,49.3321804073891,-16,-16,-16
403,3,0,1,1,3.2183076,3848,3737,3565,53.1310209007597,54.1149286952182,59.0344676675108,-16,-16,-16
403,2,1,1,2,3.6210235,3604,3845,3776,49.454883546113,53.411274229802,50.4439812170352,-16,-16,-16
403,3,0,1,1,2.7910671,3713,3653,3783,57.160776905627,52.2331237241074,60.1173688145387,-16,-16,-16
1280,4,0,0,1,31.1113633,3796,3800,3644,3666,2.34901252211595,2.34901252211595,4.69802504423191,4.69802504423191,-17,-16,-17,-17
1280,4,0,0,1,26.0077687,3784,3776,3648,3674,16.1138540471556,48.3415621414667,24.1707810707334,8.05692702357779,-17,-17,-17,-16
1280,4,0,0,1,23.31491,3780,3780,3644,3670,11.9816943673456,11.9816943673456,5.99084718367279,17.9725415510184,-18,-17,-18,-18
1280,4,0,0,1,32.6026161,3750,3742,3694,3706,7.01730010080352,129.820051864865,3.50865005040176,3.50865005040176,-18,-18,-16,-17
1280,4,0,0,2,45.5372104,3760,3752,3690,3682,69.2593447646232,222.469410456062,2.0987680231704,253.950930803618,-17,-17,-17,-16
1280,1,0,3,2,34.6760063,3750,3742,3678,3660,17.933842056653,107.603052339918,3.5867684113306,46.6279893472978,-17,-17,-17,-17
1280,1,0,3,2,29.2745377,3776,3772,3678,3664,43.7745447520303,52.5294537024364,2.91830298346869,90.4673924875294,-17,-17,-16,-16
1280,4,0,0,1,31.7395813,3756,3750,3670,3682,9.62771549715597,57.7662929829358,9.62771549715597,298.459180411835,-18,-19,-17,-17
1280,4,0,0,1,27.2834108,3788,3764,3666,3686,28.1455039996638,56.2910079993275,1.87636693331092,58.1673749326384,-18,-18,-16,-16
1280,4,0,0,1,28.3753382,3730,3718,3682,3718,71.761699489272,78.9378694381992,3.5880849744636,118.406804157299,-18,-17,-16,-17
1280,1,0,3,2,40.9216722,3780,3776,3616,3656,16.6868763279972,55.6229210933241,5.56229210933241,33.3737526559945,-16,-16,-16,-17
1280,4,0,0,1,28.6946371,3710,3694,3632,3670,85.7731015553523,22.8728270814273,2.85910338517841,37.1683440073193,-17,-16,-17,-17
1280,4,0,0,1,20.720233,3776,3768,3686,3648,73.2507572663286,117.201211626126,2.93003029065315,380.903937784909,-18,-17,-16,-16
1280,4,0,0,1,22.3281316,3768,3760,3652,3674,15.5667670871399,73.3861876965165,2.22382386959141,35.5811819134626,-17,-18,-16,-16
1280,4,0,0,1,24.6283436,3760,3718,3664,3690,31.3870694448569,60.3597489324171,2.41438995729668,94.1612083345707,-19,-18,-17,-16
1280,4,0,0,1,17.8926294,3734,3734,3686,3682,14.7162594800304,7.3581297400152,7.3581297400152,7.3581297400152,-18,-18,-16,-16
1280,4,0,0,1,26.9831367,3730,3730,3682,3694,6.85370425580766,47.9759297906536,3.42685212790383,123.366676604538,-20,-18,-16,-18
1280,4,0,0,1,29.5046556,3800,3776,3608,3664,62.9202548689791,20.9734182896597,10.4867091448298,10.4867091448298,-17,-17,-17,-17
1280,4,0,0,1,31.8012214,3776,3772,3632,3660,47.0722957714957,124.099688852125,2.13964980779526,66.329144041653,-18,-18,-16,-16
1280,4,0,0,1,26.3591892,3734,3722,3656,3702,101.273070005347,131.654991006951,3.37576900017824,54.0123040028518,-17,-17,-16,-16
